2018-02-21 19:55:04,582|||main||||DEBUG|||||org.acumos.databroker.zipbroker.controller.ZipBrokerFileControllerTest|| In getZipBrokerProcessor method
2018-02-21 19:55:04,639|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getZipFile method
2018-02-21 19:55:05,356|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getUnzipFileFromInputStream method
2018-02-21 19:55:05,357|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 19:55:05,375|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 19:55:05,376|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 19:55:05,765|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 19:55:05,778|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 19:55:05,784|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 19:55:05,964|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 19:55:05,984|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 19:55:06,169|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 19:55:06,189|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 19:55:06,371|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 19:55:06,393|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 19:55:06,405|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 19:55:06,578|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 19:55:06,595|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 19:55:06,781|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 19:55:06,804|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 19:55:06,989|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 19:55:07,006|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 19:55:07,015|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 19:55:07,023|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 19:55:07,031|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 19:55:07,037|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 19:55:07,042|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 19:55:07,192|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 19:55:07,210|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 19:55:07,220|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 19:55:07,229|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 19:55:07,235|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 19:55:07,241|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 19:55:07,246|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 19:55:07,251|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 19:55:07,255|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 19:55:07,260|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 19:55:07,264|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 19:55:07,399|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 19:55:07,416|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 19:55:07,429|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 19:55:07,444|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In generateZipReaderResult metod
2018-02-21 19:55:08,502|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerServiceImplTest|| In getZipFileFromURL
2018-02-21 19:55:08,502|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getZipFile method
2018-02-21 19:55:08,919|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getUnzipFileFromInputStream method
